variable,label,source,notes
district,District,,
pop_male,"Male population, 10-64",Table 7a: Distribution of population aged 10-64 by sex ,
pop_female,"Female population, 10-64",Table 7a: Distribution of population aged 10-64 by sex ,
pop_total,"Total population, 10-64",Table 7a: Distribution of population aged 10-64 by sex ,
edu_never,Never attended school,Table 8: Distribution of population aged 10-64 years by educational attainment ,
edu_nonformal,Non-formal education,Table 8: Distribution of population aged 10-64 years by educational attainment ,
edu_primary,Primary education,Table 8: Distribution of population aged 10-64 years by educational attainment ,
edu_secondary,Secondary education,Table 8: Distribution of population aged 10-64 years by educational attainment ,
edu_higher,Higher education,Table 8: Distribution of population aged 10-64 years by educational attainment ,
total_edu,All persons,Table 8: Distribution of population aged 10-64 years by educational attainment ,
unempl,Actively seeking work (unemployed),Table 11a: Distribution of population 12 years and over by type of economic activity in the past 7 days ,
econactive,Total Economically Active Population,Table 11a: Distribution of population 12 years and over by type of economic activity in the past 7 days ,
econpop,Combined Economically Active and Not-working Pop,Table 11a: Distribution of population 12 years and over by type of economic activity in the past 7 days ,
unempl_rate,Unemployment rate,Table 11a: Distribution of population 12 years and over by type of economic activity in the past 7 days ,#NAME?
econpart_rate,Economic participation rate,Table 11a: Distribution of population 12 years and over by type of economic activity in the past 7 days ,#NAME?
water_piped,Piped,Table 57: Distribution of households by principal source of water,
water_standpipe,Stand pipe,Table 57: Distribution of households by principal source of water,
water_comm,Community,Table 57: Distribution of households by principal source of water,
water_borehole,Borehole,Table 57: Distribution of households by principal source of water,
water_well,Well,Table 57: Distribution of households by principal source of water,
water_river,Flowing river,Table 57: Distribution of households by principal source of water,
water_riverbed,Stand river (riverbed),Table 57: Distribution of households by principal source of water,
water_dam,Dam/lake/pan,Table 57: Distribution of households by principal source of water,
water_bouser,Bouser,Table 57: Distribution of households by principal source of water,
water_standpipe_neighbor,Neighbor's stand pipe,Table 57: Distribution of households by principal source of water,
toilet_own_flush,Own flush toilet,Table 58: Distribution of households by type of toilet facility,
toilet_own_pit,Own pit latrine,Table 58: Distribution of households by type of toilet facility,
toilet_neighbor_flush,Neighbor's flush toilet,Table 58: Distribution of households by type of toilet facility,
toilet_neighbor_pit,Neighbor's pit latrine,Table 58: Distribution of households by type of toilet facility,
toilet_comm_flush,Communal flush toilet,Table 58: Distribution of households by type of toilet facility,
toilet_comm_pit,Communal pit latrine,Table 58: Distribution of households by type of toilet facility,
toilet_pail,Pail/bucket/latrine,Table 58: Distribution of households by type of toilet facility,
toilet_bush,Bush,Table 58: Distribution of households by type of toilet facility,
light_elec_mains,Electricity (mains),Table 59. Distribution of households by main source of energy for lighting,
light_elec_solar,Electricity (solar),Table 59. Distribution of households by main source of energy for lighting,
light_gas,Gas (LPG),Table 59. Distribution of households by main source of energy for lighting,
light_paraffin,Paraffin,Table 59. Distribution of households by main source of energy for lighting,
light_wood,Wood/charcoal,Table 59. Distribution of households by main source of energy for lighting,
light_coal,Coal,Table 59. Distribution of households by main source of energy for lighting,
light_dung,Cow dung,Table 59. Distribution of households by main source of energy for lighting,
light_other,Other,Table 59. Distribution of households by main source of energy for lighting,
cooking_elec_mains,Electricity (mains),Table 60. Distribution of households by main source of energy for cooking,
cooking_elec_solar,Electricity (solar),Table 60. Distribution of households by main source of energy for cooking,
cooking_gas,Gas (LPG),Table 60. Distribution of households by main source of energy for cooking,
cooking_paraffin,Paraffin,Table 60. Distribution of households by main source of energy for cooking,
cooking_wood,Wood/charcoal,Table 60. Distribution of households by main source of energy for cooking,
cooking_coal,Coal,Table 60. Distribution of households by main source of energy for cooking,
cooking_dung,Cow dung,Table 60. Distribution of households by main source of energy for cooking,
cooking_other,Other,Table 60. Distribution of households by main source of energy for cooking,
media_radio,Working radio,Table 61. Percentage distribution of households by access to media,
media_tv,Working television,Table 61. Percentage distribution of households by access to media,
media_telephone,Telephone,Table 61. Percentage distribution of households by access to media,
media_cellphone,Cell phone,Table 61. Percentage distribution of households by access to media,
media_print,Printed media,Table 61. Percentage distribution of households by access to media,
media_electronic,Electronic media,Table 61. Percentage distribution of households by access to media,
media_performingarts,Performing arts,Table 61. Percentage distribution of households by access to media,
total_media,Total number of households,Table 61. Percentage distribution of households by access to media,
drugs_male,Number of males ever taken drugs,Table 64. Distribution of persons aged 10-64 years by ever taken drugs for recreation by sex,
total_drugs_male,Total male respondents for question,Table 64. Distribution of persons aged 10-64 years by ever taken drugs for recreation by sex,
drugs_female,Number of females makes ever taken drugs,Table 64. Distribution of persons aged 10-64 years by ever taken drugs for recreation by sex,
total_drugs_female,Total female respondents for question,Table 64. Distribution of persons aged 10-64 years by ever taken drugs for recreation by sex,
drugs_bothsex,Number of both sexes ever taken drugs,Table 64. Distribution of persons aged 10-64 years by ever taken drugs for recreation by sex,
total_drugs_bothsex,Total both sexes respondents for question,Table 64. Distribution of persons aged 10-64 years by ever taken drugs for recreation by sex,
incidence_male,Male HIV incidence (180 day window),"Table 68b : Distribution of population aged 18 months and over by new HIV infection test result (INCIDENCE) by sex,",
incidence_female,Female HIV incidence (180 day window),"Table 68b : Distribution of population aged 18 months and over by new HIV infection test result (INCIDENCE) by sex,",
incidence_total,Total HIV incidence (180 day window),"Table 68b : Distribution of population aged 18 months and over by new HIV infection test result (INCIDENCE) by sex,",
prevalence_total,"Total prevalence, percent HIV tested positive",Table 69a. Distribution of population aged 18 months and above by HIV test result,
