district,pop_male,pop_female,pop_total,edu_never,edu_nonformal,edu_primary,edu_secondary,edu_higher,total_edu,unempl,econactive,econpop,unempl_rate,econpart_rate,water_piped,water_standpipe,water_comm,water_borehole,water_well,water_river,water_riverbed,water_dam,water_bouser,water_standpipe_neighbor,toilet_own_flush,toilet_own_pit,toilet_neighbor_flush,toilet_neighbor_pit,toilet_comm_flush,toilet_comm_pit,toilet_latrine,toilet_bush,light_elec_mains,light_elec_solar,light_gas,light_paraffin,light_wood,light_coal,light_dung,light_other,cooking_elec_mains,cooking_elec_solar,cooking_gas,cooking_paraffin,cooking_wood,cooking_coal,cooking_dung,cooking_other,media_radio,media_tv,media_telephone,media_cellphone,media_print,media_electronic,media_performingarts,total_media,drugs_male,total_drugs_male,drugs_female,total_drugs_female,drugs_bothsex,total_drugs_bothsex,incidence_male,incidence_female,incidence_total,prevalence_total,condom_first,condom_last,condom_always,total_condom,prevent_condom,prevention_partners,prevention_monog,prevention_casual,prevention_nosex,prevention_nocommercialsex,prevention_needles,prevention_notransfusions,prevention_dontknow,prevention_other,total_heardofhiv,attitude_meal,attitude_care,attitude_teach,attitude_buy,attitude_secret,tested_pct,access_home,access_orphan,access_support,access_destitute,access_arv,access_pmtct,access_ipt,access_vct,access_other
Gaborone,62581,67919,130500,3321,1674,20989,63227,39347,128557,12349,105745,158427,11.7,66.7,35947,24982,7989,,,,,,,1148,39676,29444,229,43,124,402,53,,43329,1448,377,24845,,,974,,16019,408,48879,3757,937,65,,,87,78.7,42.5,93.7,88.8,46.4,42.4,70973,4494,61798,510,67408,5004,129206,2.17,3.23,2.69,17.1,61.6,56.8,48,111244,87.9,16,21,6.1,61.7,2.1,11.5,6.1,0,7,127054,38.4,94.1,89.8,80.4,53.3,61.9,8.4,7.8,6.2,6,7.9,7.3,25.8,6,0.1
Francistown,30732,31927,62659,1834,487,14203,31946,13067,61537,7220,47634,70753,15.2,67.3,12237,15363,2308,,,,,,,2708,14754,16208,442,660,67,,,539,18457,284,135,13716,,,79,,6361,228,18951,1320,5812,,,,79,72.6,31.7,94.8,81.3,36.9,32.8,32671,2471,30517,143,31650,2613,62166,2.29,5.26,3.82,23.1,61.1,55,49,51658,89.4,12,18,4.1,61.4,0.6,9.3,5.7,0,6,59741,39.1,97.8,89.3,80.4,54.6,62.7,4.4,5.9,2.9,3.6,5.7,4.2,27.6,6,0
Lobatse,7698,9137,16836,1046,56,4588,7793,3046,16528,2771,13472,21199,20.6,63.6,3765,2950,2344,,,,,,,322,4549,4226,,264,,120,,221,5242,107,,4031,,,,,1090,151,6780,707,652,,,,82,64.3,29.2,88.4,83.4,38.2,37.7,9380,434,7698,107,9108,542,16807,3.8,0.86,2.23,16.3,62.9,48,43.8,13271,86.2,15,21,6.1,64.3,4.3,14.4,9.4,0,4,15526,34.5,96.5,86.2,76.7,61,58.5,4.5,4.1,2,2.5,3.6,6.4,19.4,3,0
Selebi-Phikwe,16712,15704,32416,1179,519,8808,18360,2915,31781,4890,23986,35994,20.4,66.6,5848,8522,2054,,,,,,,603,6839,9501,,114,507,,,67,10180,194,131,6522,,,,,3860,313,10071,365,2418,,,,86,75.4,35.9,94.2,86.1,29.9,47.6,17027,1191,16533,62,15639,1253,32171,2.07,5.83,3.94,26.5,63.4,62.2,53,25443,90.4,8.6,16.3,3.6,62.1,0.6,5.4,5,0,5,31808,40.6,94.8,90.2,84.2,54.3,66.5,3.3,6.3,3.7,3.9,7.9,5.4,39.9,6.4,0
Orapa,2585,2338,4923,40,0,360,2497,2027,4923,310,4210,5541,7.4,76,3147,69,,,,,,,,,3147,69,,,,,,,3216,,,,,,,,211,,3005,,,,,,95,100,84.2,98.4,87.5,61.8,39,3216,475,2585,0,2338,475,4923,4.54,,2.74,16.7,59.1,45.2,37.9,4312,86.7,6.5,20.5,4.8,61.6,0,12.8,8.4,0,9,4923,56.8,97.2,92.6,89.9,59.1,78.1,3.5,5.3,2.6,4,8.6,4.2,22,3.2,0
Jwaneng,5100,4981,10081,1089,66,1609,5134,2119,10016,1591,8400,10935,18.9,76.8,3884,1687,,,,,,,,,5022,550,,,,,,,3717,131,,1723,,,,,524,,4982,65,,,,,79,74.4,41.5,91.9,90.8,42.8,17.6,5571,515,5100,0,4981,515,10082,,4.23,2.53,15.7,64.3,57.1,47.5,8008,89,17.1,13.7,4.3,63.5,3.5,6.5,1.3,0,7,9951,41,97.7,94.1,87.3,60.4,71.2,2.5,4.4,3.2,3.7,5.1,4.6,29.8,3,0.6
Sowa,1200,1085,2285,42,21,612,1033,577,2285,163,1541,2435,10.6,63.3,1065,37,,,,,,,,,1059,22,,22,,,,,1102,,,,,,,,912,18,171,,,,,,91,96.5,67.2,92.6,95,57,50.9,1102,98,1200,24,1085,122,2285,,,0,25.4,67.2,58.3,54.5,1679,94.5,11.5,22.7,2.1,63.3,4,13.4,9.7,0,8,2267,31.7,95.1,78,69.5,59.8,57.6,3.7,2.8,1.8,1.8,2.8,2.8,33.7,3.8,0
Southern,25643,37415,63058,8254,1251,22515,23434,7017,62471,15281,37957,78520,40.3,48.3,5189,11166,7517,1966,314,,558,336,,1490,5899,13920,60,1915,200,91,,6449,10461,294,,16586,95,1063,37,,2552,69,9327,281,16171,134,,,68,46.4,26,74.2,63,18.7,18.5,28535,732,25596,61,37325,793,62920,0.8,2.34,1.62,13.3,51.8,44.4,41,41292,81.8,10.6,13,1.8,49.5,1,6.6,3.2,1,4,58801,24.5,93.6,78.4,75.9,59.9,46.9,2.6,5,2,5.4,3.1,3.5,18.4,2.9,0.3
Barolong,14085,13348,27433,4518,1124,11390,8609,905,26546,6858,14215,35929,48.2,39.6,1256,3062,7877,,101,,48,429,,429,1525,9070,59,1336,,160,,1052,1447,305,,11448,,,,,463,,2050,,10452,60,86,89,74,38.6,21.5,69.6,49.4,12.5,14.9,13201,224,13906,280,13348,504,27255,1.04,2.53,1.76,13.5,45.8,45.4,42.6,17176,77.4,5.6,12,0.7,42.2,0.4,4,2.4,0,3,23867,27,94.1,71.5,66.8,53.2,43,5.5,5.9,1.3,4.8,3.7,3.5,10.6,3.2,0
Ngwaketse West,2691,2816,5507,1050,73,2060,1963,361,5507,1228,3466,6887,35.4,50.3,324,1124,560,396,,,,,,424,321,1068,68,205,,30,,1137,304,128,,2068,66,264,,,101,,457,,2246,24,,,49.7,25.2,9.8,70.3,50.6,8.3,11.2,2829,100,2691,0,2816,100,5507,,2.57,1.28,16.1,49.7,42.8,35,4059,81.5,15.8,11.6,0,44.9,0,6,1,3.1,1.8,4870,32.3,92.5,81.3,77.4,60.2,57.8,9.7,6.8,1,6.5,6.1,3.6,26.1,3.9,0
Southeast,18263,19406,37669,2616,301,7135,17675,9632,37360,6227,31412,47820,19.8,65.7,6741,11552,668,308,,,,358,98,238,8021,10274,,209,414,118,,967,14298,219,86,5422,,33,,,2817,91,13032,898,3163,55,,,82,76.3,26.6,88.5,81.7,37.3,35.1,20058,754,18263,0,19406,754,37669,2.54,0.75,1.64,12.6,59.8,52.8,49,31046,85.7,17.7,21,3,53,2.3,11.2,7.7,0,4,36825,34.2,94.1,84.5,82.1,63.9,61.3,9,8.3,5.1,6.6,6.4,5.9,14.4,7.5,0.3
Kweneng East,61417,71986,133403,13406,1839,36519,60973,19254,131992,28749,100254,168354,28.7,59.5,11987,34281,10632,1538,46,,58,1103,288,4939,14134,41629,72,2468,,776,,5636,28568,660,81,34376,274,769,205,,5678,95,36020,2332,20464,125,,92,80.6,60.9,22.6,87.1,74.2,28.8,31,64932,2797,61356,217,71742,3014,133098,1.6,2.99,2.35,16.7,55.8,52,45,102997,82,14,16,2.5,56.4,0.9,9,6,0.5,5.6,128211,33.6,94.8,83,77.5,59.4,55.2,4.8,4.3,3.3,3.5,5.6,5.3,23.6,5.2,0.1
Kweneng West,9306,12455,21761,6281,923,6809,6746,844,21603,4026,11806,28908,34.1,40.8,396,2362,9504,275,158,,,,,336,396,4426,,1168,,82,,6959,1182,,,10749,,1014,85,,177,,1434,79,11229,111,,,54.9,20.1,6.5,52.1,44.7,4.9,3.7,13031,430,9197,0,12388,430,21584,1.34,4.15,2.93,10.3,37.1,30.8,24,15330,83,6.1,15.3,0.8,42.8,0.4,4,2,0.4,0.5,20045,27.5,93.8,71.9,71.4,54.3,52.4,3.5,2.9,3.1,3,3.7,3.9,20.3,4.4,0
Kgatleng,19918,25178,45096,2889,1936,12645,22688,4278,44436,10205,30161,55772,33.8,54.1,4668,10960,619,1028,373,,129,129,667,1604,4587,11959,72,1498,,,,2060,9492,205,51,10307,53,68,87,,2187,113,7303,190,10383,,,,78,62.8,33,84.5,69.8,21.9,35.1,20264,1239,19918,120,25031,1359,44949,1.41,2.9,2.24,15.8,54.5,47.3,40,33755,87.1,10.4,14,1.7,50.3,0.7,5.9,3.1,0,6,42999,27.6,94.4,80,72.3,62.6,53.5,2.6,3.8,1.4,1.9,1.2,3.2,19.4,1.4,0
Central-Serowe,38636,49924,88561,12952,1620,31316,34942,6471,87302,17844,54136,107441,33,50.4,8766,16480,10641,3480,2470,,,46,548,2125,9885,18384,77,3838,92,46,,12028,16387,512,,23301,217,3708,385,45,4237,167,12001,271,27680,155,,,71,45.5,21.9,70.6,60.6,17.3,26,44556,2458,38579,122,49925,2580,88504,4.18,3.02,3.56,20,49,47,42,60861,82.7,6.8,10,2.1,55.3,0.3,4.5,3.5,1,3,81986,31.5,95,77.8,70.7,69.2,53.5,4.1,4,1.9,4.4,8,4.3,24.5,4.5,0.2
