fv_districts,ea_districts,ais_districts,district
fv_na1,_Commodity Botswana,fv_na1,_Commodity Botswana
_Military Botswana,_Military Botswana,fv_na2,_Military Botswana
fv_na3,Above National,fv_na3,Above National
fv_na4,National,fv_na4,National
fv_na5,fv_na5,Barolong,Barolong District
Bobirwa District,Bobirwa District,fv_na6,Bobirwa District
Boteti District,Boteti District,Central-Boteti,Boteti District
fv_na8,fv_na8,Central-Bobonong,Central-Bobonong District
Chobe District,Chobe District,Chobe,Chobe District
Francistown District,Francistown District,Francistown,Francistown District
Gaborone District,Gaborone District,Gaborone,Gaborone District
Ghanzi District,Ghanzi District,Ghanzi,Ghanzi District
Goodhope District,Goodhope District,fv_na13,Goodhope District
Hukuntsi District,Hukuntsi District,fv_na14,Hukuntsi District
Jwaneng District,Jwaneng District,Jwaneng,Jwaneng District
Kgalagadi District,Kgalagadi District,fv_na16,Kgalagadi District
fv_na17,fv_na17,Kgalagadi South,Kgalagadi District
fv_na18,fv_na18,Kgalagadi North,Kgalagadi District
Kgatleng District,Kgatleng District,Kgatleng,Kgatleng District
Kweneng East District,Kweneng East District,Kweneng East,Kweneng East District
Kweneng West District,Kweneng West District,Kweneng West,Kweneng West District
Lobatse District,Lobatse District,Lobatse,Lobatse District
Mabutsane District,Mabutsane District,fv_na23,Mabutsane District
Mahalapye District,Mahalapye District,Central-Mahalapye,Mahalapye District
Ngamiland District,Ngamiland District,fv_na25,Ngamiland District
fv_na26,fv_na26,Ngamiland South,Ngamiland District
fv_na27,fv_na27,Ngamiland North,Ngamiland District
North East District,North East District,Northeast,North East District
fv_na29,fv_na29,Ngwaketse West,Ngwaketse West District
Okavango District,Okavango District,fv_na30,Okavango District
fv_na31,fv_na31,Orapa,Orapa District
Selibe-Phikwe District,Selibe-Phikwe District,Selebi-Phikwe,Selibe-Phikwe District
fv_na33,fv_na33,Sowa,Sowa District
Serowe/Palapye District,Serowe/Palapye District,Central-Serowe,Serowe/Palapye District
South East District,South East District,Southeast,South East District
Southern District,Southern District,Southern,Southern District
Tutume District,Tutume District,Central-Tutume,Tutume District
