"","district","psnuuid","cbcts_lnkg_exp","cbcts_rtnadhr_exp","fbcts_loaded_tot","fy16snuprioritization.x","D","N","ret_pct","fy16snuprioritization.y","plhiv","tx_curr_subnat","pop_male","pop_female","pop_total","edu_never","edu_nonformal","edu_primary","edu_secondary","edu_higher","total_edu","unempl","econactive","econpop","unempl_rate","econpart_rate","water_piped","water_standpipe","water_comm","water_borehole","water_well","water_river","water_riverbed","water_dam","water_bouser","water_standpipe_neighbor","toilet_own_flush","toilet_own_pit","toilet_neighbor_flush","toilet_neighbor_pit","toilet_comm_flush","toilet_comm_pit","toilet_latrine","toilet_bush","light_elec_mains","light_elec_solar","light_gas","light_paraffin","light_wood","light_coal","light_dung","light_other","cooking_elec_mains","cooking_elec_solar","cooking_gas","cooking_paraffin","cooking_wood","cooking_coal","cooking_dung","cooking_other","media_radio","media_tv","media_telephone","media_cellphone","media_print","media_electronic","media_performingarts","total_media","drugs_male","total_drugs_male","drugs_female","total_drugs_female","drugs_bothsex","total_drugs_bothsex","incidence_male","incidence_female","incidence_total","prevalence_total","condom_first","condom_last","condom_always","total_condom","prevent_condom","prevention_partners","prevention_monog","prevention_casual","prevention_nosex","prevention_nocommercialsex","prevention_needles","prevention_notransfusions","prevention_dontknow","prevention_other","total_heardofhiv","attitude_meal","attitude_care","attitude_teach","attitude_buy","attitude_secret","tested_pct","access_home","access_orphan","access_support","access_destitute","access_arv","access_pmtct","access_ipt","access_vct","access_other"
"1","_Military Botswana","YUdVS82TqXZ",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","Bobirwa District","gGqaAXuUGpb",0,0,386473.9805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Boteti District","p5JLtcOw9iv",0,0,405648.7325,,,,,,,,10215,13018,23233,3963,1302,6767,10231,864,23126,3845,13558,27784,28.4,48.8,504,4900,3272,1354,480,,107,,107,689,1001,5654,86,1194,,,,3529,2355,80,165,6971,204,1413,276,,158,80,3000,243,7983,,,,0.69,0.355,0.112,0.695,0.489,0.095,0.138,11464,0,1.63730755251797e-13,0,5.27070545624832e-13,0,1.20820377180801e-14,1.11,3.04,2.19,14.6,0.462,0.423,0.36,16580,85.9,0.091,0.11,0.04,0.555,0,0.081,0.067,0.01,0.02,21320,0.303,0.962,0.823,0.775,0.702,0.57,0.049,0.035,0.012,0.057,0.049,0.038,0.215,0.026,0
"4","Chobe District","e9Ze74PEe99",0,0,224950,"6 - Sustained: Commodities",0,0,,"6 - Sustained: Commodities","4171",,5259,8399,13658,428,66,3492,8042,1218,13246,2793,10610,15428,26.3,68.8,1830,4527,314,,,,,,,136,1793,3942,275,239,,82,,474,4154,111,92,2365,,23,83,,745,63,3584,271,2142,,,,0.84,0.691,0.483,0.878,0.786,0.402,0.32,6828,0,6.18081782342655e-12,,,0,3.36206373816902e-13,0.89,0.82,0.85,23,0.587,0.476,0.452,10369,95.4,0.055,0.11,0.019,0.563,0.017,0.13,0.005,0,0.02,12955,0.495,0.971,0.908,0.908,0.732,0.647,0.039,0.04,0.043,0.025,0.07,0.047,0.377,0.039,0.002
"5","Francistown District","h1CepDrLWib",3389,1129,460228.57799,"4 - Sustained",1215,1000,0.823,"4 - Sustained","20029","31229",30732,31927,62659,1834,487,14203,31946,13067,61537,7220,47634,70753,15.2,67.3,12237,15363,2308,,,,,,,2708,14754,16208,442,660,67,,,539,18457,284,135,13716,,,79,,6361,228,18951,1320,5812,,,,0.79,0.726,0.317,0.948,0.813,0.369,0.328,32671,0,1.42397295681221e-15,0,2.2056815959177e-14,0,1.59294880340348e-16,2.29,5.26,3.82,23.1,0.611,0.55,0.49,51658,89.4,0.12,0.18,0.041,0.614,0.006,0.093,0.057,0,0.06,59741,0.391,0.978,0.893,0.804,0.546,0.627,0.044,0.059,0.029,0.036,0.057,0.042,0.276,0.06,0
"6","Gaborone District","VB7am4futjm",17443,60948,1134578.0198,"1 - Scale-Up: Saturation",1587,1396,0.88,"1 - Scale-Up: Saturation","33808","29875",62581,67919,130500,3321,1674,20989,63227,39347,128557,12349,105745,158427,11.7,66.7,35947,24982,7989,,,,,,,1148,39676,29444,229,43,124,402,53,,43329,1448,377,24845,,,974,,16019,408,48879,3757,937,65,,,0.87,0.787,0.425,0.937,0.888,0.464,0.424,70973,0,9.42852315236145e-17,0,6.40170265942361e-16,0,9.26477024858454e-18,2.17,3.23,2.69,17.1,0.616,0.568,0.48,111244,87.9,0.16,0.21,0.061,0.617,0.021,0.115,0.061,0,0.07,127054,0.384,0.941,0.898,0.804,0.533,0.619,0.084,0.078,0.062,0.06,0.079,0.073,0.258,0.06,0.001
"7","Ghanzi District","saOJtBcENzM",8810,49926,125758.794,,,,,"6 - Sustained: Commodities",,"3671",10401,10267,20668,2769,217,6733,8943,1810,20471,3869,13719,23582,28.2,58.2,2425,2936,2184,1911,,,,36,,1400,2580,2692,,1495,,,,4299,3618,274,,6574,266,174,159,122,1144,,3244,87,6505,,,,0.67,0.335,0.07,0.621,0.539,0.137,0.189,11188,0,1.08515258451933e-13,0,2.56665096223645e-12,0,1.32476402699889e-14,,,0,13.5,0.541,0.548,0.449,14992,85.5,0.102,0.13,0.039,0.437,0,0.064,0.029,0,0.03,19261,0.326,0.903,0.789,0.746,0.638,0.568,0.028,0.06,0.023,0.048,0.065,0.029,0.126,0.024,0
"8","Goodhope District","y8A4MNQse4l",3008,17046,97248.222984,"1 - Scale-Up: Saturation",234,186,0.795,"1 - Scale-Up: Saturation","9262","5183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","Hukuntsi District","oGXMBBGIRJl",0,0,111868,,,,,"",,"3266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10","Jwaneng District","dEkUfWWZQ61",0,0,147308,,,,,"",,"4306",5100,4981,10081,1089,66,1609,5134,2119,10016,1591,8400,10935,18.9,76.8,3884,1687,,,,,,,,,5022,550,,,,,,,3717,131,,1723,,,,,524,,4982,65,,,,,0.79,0.744,0.415,0.919,0.908,0.428,0.176,5571,0,1.46380168473327e-12,,,0,1.89475338518084e-13,,4.23,2.53,15.7,0.643,0.571,0.475,8008,89,0.171,0.137,0.043,0.635,0.035,0.065,0.013,0,0.07,9951,0.41,0.977,0.941,0.873,0.604,0.712,0.025,0.044,0.032,0.037,0.051,0.046,0.298,0.03,0.006
