"","operatingunit","countryname","snu1","snu1uid","psnu","psnuuid","fy16snuprioritization","tx_ret_denom","tx_ret_num","tx_ret_pct","tx_new","ou","ea_districts","national_sub_sub_unit","cbcts_lnkg_exp","cbcts_rtnadhr_exp","fbcts_loaded_tot"
"1","Angola","Angola","_Military Angola","bSwiBL5Y4SW","_Military Angola","bSwiBL5Y4SW",,0,0,,503,"Angola","_Military Angola","_Military Angola",0,0,125784.6175
"2","Angola","Angola","Huambo","Xanlu770shV","Huambo","Xanlu770shV",,0,0,,0,"Angola","Huambo","Huambo",0,0,0
"3","Angola","Angola","Luanda","bmIyiALRBEZ","Luanda","bmIyiALRBEZ","2 - Scale-Up: Aggressive",0,0,,3390,"Angola","Luanda","Luanda",425809,255485,2852073.4587
"4","Asia Regional Program","China","China","M74LCLccDYF","Yunnan Province","cnvySs9WnJU","4 - Sustained",107,93,0.869,64,"China","ChinaYunnan Province","Yunnan Province",13922,64944,37676.009039
"5","Asia Regional Program","Laos","Laos","PcXTNoVUrUc","Champasak","OXAf4rQUTGT","2 - Scale-Up: Aggressive",95,79,0.832,156,"Laos","LaosChampasak","Champasak",7560,0,8609.66
"6","Asia Regional Program","Laos","Laos","PcXTNoVUrUc","Luangprabang","mHYoOu390d1",,0,0,,0,"Laos","LaosLuangprabang","Luangprabang",0,0,0
"7","Asia Regional Program","Laos","Laos","PcXTNoVUrUc","Savannakhet","WO5TOA88LfB","2 - Scale-Up: Aggressive",120,93,0.775,114,"Laos","LaosSavannakhet","Savannakhet",7560,0,7262.66
"8","Asia Regional Program","Laos","Laos","PcXTNoVUrUc","Vientiane Capital","GhzEbWf9bsL","2 - Scale-Up: Aggressive",436,377,0.865,515,"Laos","LaosVientiane Capital","Vientiane Capital",0,0,22758.4686
"9","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Bangkok","ENdy7rBFj0e","2 - Scale-Up: Aggressive",570,523,0.918,1207,"Thailand","ThailandBangkok","Bangkok",,,419298.55321
"10","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Chiang Mai","B0gZGEhXexz","2 - Scale-Up: Aggressive",0,0,,100,"Thailand","ThailandChiang Mai","Chiang Mai",,,131298.24834
"11","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Chiang Rai","QrlekrJ7KUT",,7,6,0.857,13,"Thailand","ThailandChiang Rai","Chiang Rai",0,0,13103.8833
